交易日期,开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅,成交量(万股),成交额(万),持仓量
2023-07-13,"4,491.50","4,517.38","4,489.36","4,510.04",37.88,0.85,"2,451.14",119.05,"881,148.14","38,244,081.46",
2023-07-12,"4,467.69","4,488.34","4,463.23","4,472.16",32.9,0.74,"2,413.26",117.21,"887,312.75","39,071,947.48",
2023-07-11,"4,415.55","4,443.64","4,408.46","4,439.26",29.73,0.67,"2,380.36",115.61,"825,058.67","34,188,266.62",
2023-07-10,"4,394.23","4,412.60","4,389.92","4,409.53",10.58,0.24,"2,350.63",114.17,"842,913.26","34,944,417.99",
2023-07-07,"4,404.54","4,440.39","4,397.40","4,398.95",-12.64,-0.29,"2,340.05",113.66,"847,560.41","33,913,349.02",
2023-07-06,"4,422.62","4,422.62","4,385.05","4,411.59",-35.23,-0.79,"2,352.69",114.27,"951,770.41","34,572,859.70",
2023-07-05,"4,442.04","4,454.06","4,436.61","4,446.82",-8.77,-0.2,"2,387.92",115.98,"869,485.24","34,068,441.20",
2023-07-03,"4,450.48","4,456.46","4,442.29","4,455.59",5.21,0.12,"2,396.69",116.41,"490,720.15","20,920,757.98",
2023-06-30,"4,422.44","4,458.48","4,422.44","4,450.38",53.94,1.23,"2,391.48",116.15,"818,630.35","38,414,962.37",
2023-06-29,"4,374.94","4,398.39","4,371.97","4,396.44",19.58,0.45,"2,337.54",113.53,"772,679.52","32,639,680.94",
2023-06-28,"4,367.48","4,390.35","4,360.22","4,376.86",-1.55,-0.04,"2,317.96",112.58,"797,714.40","35,942,010.78",
2023-06-27,"4,337.36","4,384.42","4,335.00","4,378.41",49.59,1.15,"2,319.51",112.66,"833,216.82","35,571,314.37",
2023-06-26,"4,344.84","4,362.06","4,328.08","4,328.82",-19.51,-0.45,"2,269.92",110.25,"759,896.15","34,625,036.87",
2023-06-23,"4,354.17","4,366.55","4,341.34","4,348.33",-33.56,-0.77,"2,289.43",111.2,"1,432,708.79","54,047,904.53",
2023-06-22,"4,355.40","4,382.25","4,351.82","4,381.89",16.2,0.37,"2,322.99",112.83,"775,207.04","34,358,420.60",
2023-06-21,"4,380.01","4,386.22","4,360.14","4,365.69",-23.02,-0.52,"2,306.79",112.04,"855,644.13","38,834,266.54",
2023-06-20,"4,396.11","4,400.15","4,367.19","4,388.71",-20.88,-0.47,"2,329.81",113.16,"909,876.14","39,557,427.53",
2023-06-16,"4,440.95","4,448.47","4,407.44","4,409.59",-16.25,-0.37,"2,350.69",114.17,"1,508,510.45","66,694,387.23",
2023-06-15,"4,365.33","4,439.20","4,362.60","4,425.84",53.25,1.22,"2,366.94",114.96,"945,918.53","42,148,193.85",
2023-06-14,"4,366.29","4,391.82","4,337.85","4,372.59",3.58,0.08,"2,313.69",112.38,"918,814.27","43,014,781.80",
2023-06-13,"4,352.61","4,375.37","4,349.31","4,369.01",30.08,0.69,"2,310.11",112.2,"942,278.27","40,492,103.96",
2023-06-12,"4,308.32","4,340.13","4,304.37","4,338.93",40.07,0.93,"2,280.03",110.74,"842,196.19","36,488,400.91",
2023-06-09,"4,304.88","4,322.62","4,291.70","4,298.86",4.93,0.11,"2,239.96",108.79,"789,494.98","35,117,213.62",
2023-06-08,"4,268.69","4,298.01","4,261.07","4,293.93",26.41,0.62,"2,235.03",108.55,"794,364.28","34,578,802.80",
