指标名称,中国:银行代客远期结售汇签约差额:人民币:当月值
2010-01-31,289.50636
2010-02-28,105.025818
2010-03-31,518.848285
2010-04-30,614.179393
2010-05-31,-262.687908
2010-06-30,-17.18576
2010-07-31,252.372413
2010-08-31,652.289066
2010-09-30,71.722393
2010-10-31,978.48765
2010-11-30,51.882938
2010-12-31,21.018226
2011-01-31,495.415107
2011-02-28,224.016128
2011-03-31,-43.500706
2011-04-30,357.013159
2011-05-31,-142.099903
2011-06-30,-119.707209
2011-07-31,10.514068
2011-08-31,462.056172
2011-09-30,-124.729855
2011-10-31,-333.362412
2011-11-30,-22.973171
2011-12-31,-1012.298913
2012-01-31,216.402373
2012-02-29,363.025754
2012-03-31,210.102575
2012-04-30,-110.727919
2012-05-31,-337.024526
2012-06-30,-676.306152
2012-07-31,-215.809685
2012-08-31,-74.230409
2012-09-30,-359.912651
2012-10-31,-39.14447
2012-11-30,341.081817
2012-12-31,598.436111
2013-01-31,589.579965
2013-02-28,160.121076
2013-03-31,277.387014
2013-04-30,568.950347
2013-05-31,646.706312
2013-06-30,888.734965
2013-07-31,159.44398
2013-08-31,575.840853
2013-09-30,1109.384644
2013-10-31,797.931068
2013-11-30,1253.158757
2013-12-31,1129.923442
2014-01-31,1547.623179
2014-02-28,1389.79276
2014-03-31,165.110083
2014-04-30,90.497683
2014-05-31,53.082156
2014-06-30,-165.06
2014-07-31,60.477997
2014-08-31,349.233941
2014-09-30,-386.194643
2014-10-31,-111.76548
2014-11-30,119.652335
2014-12-31,314.349351
2015-01-31,-359.355378
2015-02-28,-941.659153
2015-03-31,-1587.769991
2015-04-30,-421.685424
2015-05-31,-380.080174
2015-06-30,-516.282631
2015-07-31,-975.396507
2015-08-31,-4284.3292
2015-09-30,-980.914645
2015-10-31,-109.369237
2015-11-30,-429.348861
2015-12-31,-1150.992669
2016-01-31,-1621.330629
2016-02-29,-398.766107
2016-03-31,-352.609143
2016-04-30,-81.064538
2016-05-31,86.070801
2016-06-30,-54.921789
2016-07-31,-534.378299
2016-08-31,-122.424501
2016-09-30,-750.172147
2016-10-31,-261.69789
2016-11-30,-687.471651
2016-12-31,-885.034257
2017-01-31,-549.287487
2017-02-28,320.968057
2017-03-31,-9.010102
2017-04-30,349.698866
2017-05-31,235.429636
2017-06-30,302.746447
2017-07-31,177.25145
2017-08-31,205.792469
2017-09-30,-495.119268
2017-10-31,-414.049286
2017-11-30,-792.032639
2017-12-31,-1021.568848
2018-01-31,-729.605846
2018-02-28,-279.058559
2018-03-31,-126.679604
2018-04-30,316.759842
2018-05-31,106.225929
2018-06-30,-887.043338
2018-07-31,-1028.176877
2018-08-31,-368.9189
2018-09-30,17.6027
2018-10-31,190.7503
2018-11-30,319.4772
2018-12-31,662.625436
2019-01-31,451.012612
2019-02-28,644.481493
2019-03-31,1224.651213
2019-04-30,963.448301
2019-05-31,1312.412111
2019-06-30,669.321298
2019-07-31,776.485573
2019-08-31,777.549134
2019-09-30,383.963323
2019-10-31,764.096311
2019-11-30,949.157259
2019-12-31,1077.163275
2020-01-31,622.211829
2020-02-29,1100.911064
2020-03-31,1165.082579
2020-04-30,292.741828
2020-05-31,541.395091
2020-06-30,381.875747
2020-07-31,594.105137
2020-08-31,780.84
2020-09-30,779.634246
2020-10-31,741.975189
2020-11-30,990.999323
2020-12-31,2279.871172
2021-01-31,782.795102
2021-02-28,986.249663
2021-03-31,425.417124
2021-04-30,166.667292
2021-05-31,1364.565559
2021-06-30,960.12703
2021-07-31,351.146768
2021-08-31,-184.849572
2021-09-30,253.435813
2021-10-31,248.405066
2021-11-30,1369.365473
2021-12-31,712.546926
2022-01-31,-196.214127
2022-02-28,285.729881
2022-03-31,518.166383
2022-04-30,-614.53737
2022-05-31,-351.37692
2022-06-30,-443.603014
2022-07-31,68.198539
2022-08-31,-1039.593879
2022-09-30,-2120.164136
2022-10-31,849.273571
2022-11-30,898.707921
2022-12-31,863.10236
2023-01-31,801.001314
2023-02-28,1935.792068
2023-03-31,1673.3895
2023-04-30,2044.725385
2023-05-31,1991.197929
