Time,FXRate,year,month,year_month
2010-01-31,6.8268,2010,1,2010-01-01
2010-02-28,6.8261,2010,2,2010-02-01
2010-03-31,6.8259,2010,3,2010-03-01
2010-04-30,6.8252,2010,4,2010-04-01
2010-05-31,6.8278,2010,5,2010-05-01
2010-06-30,6.7814,2010,6,2010-06-01
2010-07-31,6.775,2010,7,2010-07-01
2010-08-31,6.8074,2010,8,2010-08-01
2010-09-30,6.6912,2010,9,2010-09-01
2010-10-31,6.6708,2010,10,2010-10-01
2010-11-30,6.667,2010,11,2010-11-01
2010-12-31,6.5897,2010,12,2010-12-01
2011-01-31,6.603,2011,1,2011-01-01
2011-02-28,6.5716,2011,2,2011-02-01
2011-03-31,6.5485,2011,3,2011-03-01
2011-04-30,6.491,2011,4,2011-04-01
2011-05-31,6.4791,2011,5,2011-05-01
2011-06-30,6.464,2011,6,2011-06-01
2011-07-31,6.4366,2011,7,2011-07-01
2011-08-31,6.3782,2011,8,2011-08-01
2011-09-30,6.3859,2011,9,2011-09-01
2011-10-31,6.3549,2011,10,2011-10-01
2011-11-30,6.3789,2011,11,2011-11-01
2011-12-31,6.2948,2011,12,2011-12-01
2012-01-31,6.3085,2012,1,2012-01-01
2012-02-29,6.2936,2012,2,2012-02-01
2012-03-31,6.298,2012,3,2012-03-01
2012-04-30,6.3102,2012,4,2012-04-01
2012-05-31,6.369,2012,5,2012-05-01
2012-06-30,6.3541,2012,6,2012-06-01
2012-07-31,6.3627,2012,7,2012-07-01
2012-08-31,6.3484,2012,8,2012-08-01
2012-09-30,6.2849,2012,9,2012-09-01
2012-10-31,6.2372,2012,10,2012-10-01
2012-11-30,6.2267,2012,11,2012-11-01
2012-12-31,6.2303,2012,12,2012-12-01
2013-01-31,6.2188,2013,1,2013-01-01
2013-02-28,6.2213,2013,2,2013-02-01
2013-03-31,6.2108,2013,3,2013-03-01
2013-04-30,6.165,2013,4,2013-04-01
2013-05-31,6.1345,2013,5,2013-05-01
2013-06-30,6.1376,2013,6,2013-06-01
2013-07-31,6.1289,2013,7,2013-07-01
2013-08-31,6.1195,2013,8,2013-08-01
2013-09-30,6.122,2013,9,2013-09-01
2013-10-31,6.0945,2013,10,2013-10-01
2013-11-30,6.0932,2013,11,2013-11-01
2013-12-31,6.0539,2013,12,2013-12-01
2014-01-31,6.06,2014,1,2014-01-01
2014-02-28,6.145,2014,2,2014-02-01
2014-03-31,6.218,2014,3,2014-03-01
2014-04-30,6.2593,2014,4,2014-04-01
2014-05-31,6.2473,2014,5,2014-05-01
2014-06-30,6.205,2014,6,2014-06-01
2014-07-31,6.1747,2014,7,2014-07-01
2014-08-31,6.1432,2014,8,2014-08-01
2014-09-30,6.1395,2014,9,2014-09-01
2014-10-31,6.1135,2014,10,2014-10-01
2014-11-30,6.145,2014,11,2014-11-01
2014-12-31,6.204,2014,12,2014-12-01
2015-01-31,6.251,2015,1,2015-01-01
2015-02-28,6.2696,2015,2,2015-02-01
2015-03-31,6.1996,2015,3,2015-03-01
2015-04-30,6.2028,2015,4,2015-04-01
2015-05-31,6.1985,2015,5,2015-05-01
2015-06-30,6.201,2015,6,2015-06-01
2015-07-31,6.2097,2015,7,2015-07-01
2015-08-31,6.3763,2015,8,2015-08-01
2015-09-30,6.3571,2015,9,2015-09-01
2015-10-31,6.3175,2015,10,2015-10-01
2015-11-30,6.3981,2015,11,2015-11-01
2015-12-31,6.4936,2015,12,2015-12-01
2016-01-31,6.5789,2016,1,2016-01-01
2016-02-29,6.5472,2016,2,2016-02-01
2016-03-31,6.4676,2016,3,2016-03-01
